"Var1","Freq","desc","COG"
"DDA3937_RS03485",1,"hypothetical protein","none"
"DDA3937_RS03545",1,"helix-turn-helix transcriptional regulator","transcription"
"DDA3937_RS03565",1,"MarR family transcriptional regulator","transcription"
"DDA3937_RS03570",1,"L,D-transpeptidase family protein","cell wall/membrane/envelope biogenesis"
"DDA3937_RS03665",4,"MurR/RpiR family transcriptional regulator","transcription"
"DDA3937_RS04070",3,"helix-turn-helix transcriptional regulator","none"
"DDA3937_RS04125",12,"acetyltransferase",NA
"DDA3937_RS04195",1,"GPO family capsid scaffolding protein","none"
"DDA3937_RS04220",1,"hypothetical protein","none"
"DDA3937_RS04225",4,"DUF2586 domain-containing protein","none"
"DDA3937_RS04235",11,"phage holin family protein","none"
"DDA3937_RS04405",1,"GNAT family N-acetyltransferase","none"
"DDA3937_RS04480",11,"phosphoenolpyruvate-protein phosphotransferase PtsI","carbohydrate transport and metabolism"
"DDA3937_RS04665",7,"helix-turn-helix transcriptional regulator","none"
"DDA3937_RS04945",8,"RNA pyrophosphohydrolase","defense mechanisms"
"DDA3937_RS05105",1,"bifunctional uridylyltransferase/uridylyl-removing protein GlnD","signal transduction mechanisms"
"DDA3937_RS05150",14,"sigma E protease regulator RseP","none"
"DDA3937_RS05320",3,"SiaB family protein kinase","none"
"DDA3937_RS05500",4,"transcriptional regulator NrdR","transcription"
"DDA3937_RS05635",5,"trigger factor","postranslational modification, protein turnover, chaperones"
"DDA3937_RS05640",14,"ATP-dependent Clp endopeptidase proteolytic subunit ClpP","postranslational modification, protein turnover, chaperones"
"DDA3937_RS05645",14,"ATP-dependent protease ATP-binding subunit ClpX","postranslational modification, protein turnover, chaperones"
"DDA3937_RS05810",1,"Kef family K(+) transporter","inorganic ion transport and metabolism"
"DDA3937_RS05895",1,"transcriptional regulator RcsB","transcription"
"DDA3937_RS06015",1,"HTH-type transcriptional regulator GalS","transcription"
"DDA3937_RS06025",15,"phosphoribosylformylglycinamidine cyclo-ligase","nucleotide transport and metabolism"
"DDA3937_RS06070",2,"outer membrane protein assembly factor BamC","function unknown"
"DDA3937_RS06075",7,"phosphoribosylaminoimidazolesuccinocarboxamide synthase","nucleotide transport and metabolism"
"DDA3937_RS06100",1,"M15 family metallopeptidase","cell wall/membrane/envelope biogenesis"
"DDA3937_RS06155",2,"D-alanyl-D-alanine carboxypeptidase DacA","cell wall/membrane/envelope biogenesis"
"DDA3937_RS06235",2,"CNNM family magnesium/cobalt transport protein CorC","inorganic ion transport and metabolism"
"DDA3937_RS06295",17,"asparagine synthase B",NA
"DDA3937_RS06305",2,"N-acetylglucosamine-6-phosphate deacetylase","carbohydrate transport and metabolism"
"DDA3937_RS06350",7,"replication initiation negative regulator SeqA","replication, recombination, and repair"
"DDA3937_RS06605",8,"galactokinase","carbohydrate transport and metabolism"
"DDA3937_RS06610",12,"galactose-1-phosphate uridylyltransferase","carbohydrate transport and metabolism"
"DDA3937_RS06615",18,"UDP-glucose 4-epimerase GalE","cell wall/membrane/envelope biogenesis"
"DDA3937_RS06695",7,"dCTP deaminase","nucleotide transport and metabolism"
"DDA3937_RS06735",2,"dTDP-glucose 4,6-dehydratase","cell wall/membrane/envelope biogenesis"
"DDA3937_RS06740",1,"glucose-1-phosphate thymidylyltransferase RfbA","cell wall/membrane/envelope biogenesis"
"DDA3937_RS06745",1,"dTDP-4-dehydrorhamnose 3,5-epimerase","cell wall/membrane/envelope biogenesis"
"DDA3937_RS06755",4,"glycosyltransferase family 2 protein","carbohydrate transport and metabolism"
"DDA3937_RS06805",14,"NADP-dependent phosphogluconate dehydrogenase","carbohydrate transport and metabolism"
"DDA3937_RS07460",1,"hydrogenase 4 subunit D","inorganic ion transport and metabolism"
"DDA3937_RS08235",1,"nitrogen assimilation transcriptional regulator NAC","transcription"
"DDA3937_RS08470",2,"molybdopterin-synthase adenylyltransferase MoeB","coenzyme transport and metabolism"
"DDA3937_RS08475",1,"molybdopterin molybdotransferase MoeA","coenzyme transport and metabolism"
"DDA3937_RS08510",2,"biotin synthase BioB","coenzyme transport and metabolism"
"DDA3937_RS08575",1,"cyclic pyranopterin monophosphate synthase MoaC","coenzyme transport and metabolism"
"DDA3937_RS08585",1,"molybdopterin synthase catalytic subunit MoaE","coenzyme transport and metabolism"
"DDA3937_RS08735",1,"D-alanyl-D-alanine endopeptidase","cell wall/membrane/envelope biogenesis"
"DDA3937_RS09115",2,"LPS biosynthesis-modulating metalloenzyme YejM","cell wall/membrane/envelope biogenesis"
"DDA3937_RS09235",1,"1-phosphofructokinase","carbohydrate transport and metabolism"
"DDA3937_RS09590",3,"leucine-responsive transcriptional regulator Lrp","transcription"
"DDA3937_RS09650",11,"pyruvate formate lyase 1-activating protein","postranslational modification, protein turnover, chaperones"
"DDA3937_RS09655",10,"formate C-acetyltransferase","energy production and conversions"
"DDA3937_RS09670",13,"3-phosphoserine/phosphohydroxythreonine transaminase","coenzyme transport and metabolism"
"DDA3937_RS09710",1,"imidazole glycerol phosphate synthase subunit HisF","amino acid transport and metabolism"
"DDA3937_RS10045",3,"MAPEG family protein","function unknown"
"DDA3937_RS10140",14,"bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase","carbohydrate transport and metabolism"
"DDA3937_RS10325",14,"formyltetrahydrofolate deformylase","nucleotide transport and metabolism"
"DDA3937_RS10460",14,"tryptophan synthase subunit alpha","amino acid transport and metabolism"
"DDA3937_RS10465",14,"tryptophan synthase subunit beta","amino acid transport and metabolism"
"DDA3937_RS10470",8,"bifunctional indole-3-glycerol-phosphate synthase TrpC/phosphoribosylanthranilate isomerase TrpF","amino acid transport and metabolism"
"DDA3937_RS10475",7,"anthranilate phosphoribosyltransferase","amino acid transport and metabolism"
"DDA3937_RS10485",8,"anthranilate synthase component 1","coenzyme transport and metabolism"
"DDA3937_RS10680",2,"ATP-dependent dethiobiotin synthetase BioD","coenzyme transport and metabolism"
"DDA3937_RS10845",1,"virulence factor SrfB","function unknown"
"DDA3937_RS10950",14,"fumarate/nitrate reduction transcriptional regulator Fnr","signal transduction mechanisms"
"DDA3937_RS10965",1,"Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha","energy production and conversions"
"DDA3937_RS10980",8,"tetratricopeptide repeat-containing protein","signal transduction mechanisms"
"DDA3937_RS10985",5,"peptide chain release factor N(5)-glutamine methyltransferase","translation, ribosomal structure, and biogenesis"
"DDA3937_RS11035",5,"redox-regulated ATPase YchF","translation, ribosomal structure, and biogenesis"
"DDA3937_RS11185",2,"disulfide bond formation protein DsbB","postranslational modification, protein turnover, chaperones"
"DDA3937_RS11205",1,"septum site-determining protein MinC","cell cycle control, cell division, chromosome partitioning"
"DDA3937_RS11275",5,"TerC family protein","inorganic ion transport and metabolism"
"DDA3937_RS11330",10,"5-dehydro-4-deoxy-D-glucuronate isomerase","carbohydrate transport and metabolism"
"DDA3937_RS11335",14,"2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase KduD","secondary metabolites biosynthesis, transport, and catabolism"
"DDA3937_RS11445",2,"DNA-binding transcriptional regulator KdgR","transcription"
"DDA3937_RS11465",4,"EAL domain-containing protein","none"
"DDA3937_RS11515",1,"peptidase T","amino acid transport and metabolism"
"DDA3937_RS11715",1,"hypothetical protein",NA
"DDA3937_RS11965",4,"carboxy terminal-processing peptidase","postranslational modification, protein turnover, chaperones"
"DDA3937_RS12490",1,"exoribonuclease II","transcription"
"DDA3937_RS12525",12,"orotidine-5'-phosphate decarboxylase","nucleotide transport and metabolism"
"DDA3937_RS12590",1,"glycine zipper 2TM domain-containing protein","cell wall/membrane/envelope biogenesis"
"DDA3937_RS12610",3,"Grx4 family monothiol glutaredoxin","postranslational modification, protein turnover, chaperones"
"DDA3937_RS12800",1,"AI-2E family transporter YdiK","general function prediction only"
"DDA3937_RS12805",2,"phosphoenolpyruvate synthase","carbohydrate transport and metabolism"
"DDA3937_RS12855",14,"quinone-dependent dihydroorotate dehydrogenase","nucleotide transport and metabolism"
"DDA3937_RS12900",3,"porin","cell wall/membrane/envelope biogenesis"
"DDA3937_RS13070",1,"purine nucleoside phosphoramidase","nucleotide transport and metabolism"
"DDA3937_RS13110",9,"beta-ketoacyl-ACP synthase II","secondary metabolites biosynthesis, transport, and catabolism"
"DDA3937_RS13170",9,"dihydroorotase","nucleotide transport and metabolism"
"DDA3937_RS13205",2,"LpxL/LpxP family Kdo(2)-lipid IV(A) lauroyl/palmitoleoyl acyltransferasee","lipid transport and metabolism"
"DDA3937_RS13215",3,"glucans biosynthesis glucosyltransferase MdoH","cell wall/membrane/envelope biogenesis"
"DDA3937_RS13315",1,"Gfo/Idh/MocA family oxidoreductase","general function prediction only"
"DDA3937_RS13320",2,"ATP-grasp domain-containing protein","nucleotide transport and metabolism"
"DDA3937_RS13325",2,"DegT/DnrJ/EryC1/StrS family aminotransferase","cell wall/membrane/envelope biogenesis"
"DDA3937_RS13330",2,"methyltransferase regulatory domain-containing protein",NA
"DDA3937_RS13340",1,"flagellin FliC","cell motility"
"DDA3937_RS13345",8,"flagellar filament capping protein FliD","cell motility"
"DDA3937_RS13350",2,"flagellar export chaperone FliS","intracellular trafficking, secretion, and vesicular transport"
"DDA3937_RS13355",1,"flagellar protein FliT","none"
"DDA3937_RS13385",1,"flagella biosynthesis chaperone FliJ","cell motility"
"DDA3937_RS13415",1,"flagellar type III secretion system pore protein FliP","cell motility"
"DDA3937_RS13420",1,"flagellar biosynthesis protein FliQ","cell motility"
"DDA3937_RS13430",1,"flagellar hook-associated protein FlgL","cell motility"
"DDA3937_RS13515",10,"protein phosphatase CheZ","signal transduction mechanisms"
"DDA3937_RS13520",3,"chemotaxis response regulator CheY","none"
"DDA3937_RS13525",10,"chemotaxis response regulator protein-glutamate methylesterase","signal transduction mechanisms"
"DDA3937_RS13530",6,"protein-glutamate O-methyltransferase CheR","signal transduction mechanisms"
"DDA3937_RS13540",4,"chemotaxis protein CheW","signal transduction mechanisms"
"DDA3937_RS13545",2,"chemotaxis protein CheA","signal transduction mechanisms"
"DDA3937_RS13550",5,"flagellar motor protein MotB","cell motility"
"DDA3937_RS13555",7,"flagellar motor stator protein MotA","cell motility"
"DDA3937_RS13560",8,"flagellar transcriptional regulator FlhC","none"
"DDA3937_RS13565",8,"flagellar transcriptional regulator FlhD","none"
"DDA3937_RS13945",1,"hypothetical protein","none"
"DDA3937_RS14205",2,"hydrogenase expression/formation protein HypE","postranslational modification, protein turnover, chaperones"
"DDA3937_RS14340",1,"transcriptional regulator LrhA","transcription"
"DDA3937_RS14380",2,"acetate kinase","energy production and conversions"
"DDA3937_RS14385",17,"phosphate acetyltransferase","energy production and conversions"
"DDA3937_RS14395",1,"phosphodiesterase","general function prediction only"
"DDA3937_RS14435",18,"amidophosphoribosyltransferase","nucleotide transport and metabolism"
"DDA3937_RS14440",13,"colicin V production protein","function unknown"
"DDA3937_RS14475",14,"4-phosphoerythronate dehydrogenase PdxB","general function prediction only"
"DDA3937_RS14655",4,"Fe2+-enterobactin ABC transporter substrate-binding protein","inorganic ion transport and metabolism"
"DDA3937_RS14665",2,"Fe(3+)-siderophore ABC transporter permease","inorganic ion transport and metabolism"
"DDA3937_RS14670",4,"iron-enterobactin ABC transporter permease","inorganic ion transport and metabolism"
"DDA3937_RS14695",9,"enterochelin esterase","inorganic ion transport and metabolism"
"DDA3937_RS14700",5,"TonB-dependent siderophore receptor","inorganic ion transport and metabolism"
"DDA3937_RS14910",18,"beta-galactosidase","carbohydrate transport and metabolism"
"DDA3937_RS14950",1,"hypothetical protein",NA
"DDA3937_RS15110",13,"5-(carboxyamino)imidazole ribonucleotide synthase","nucleotide transport and metabolism"
"DDA3937_RS15150",3,"polyphosphate kinase 1","inorganic ion transport and metabolism"
"DDA3937_RS15155",1,"exopolyphosphatase","signal transduction mechanisms"
"DDA3937_RS15345",1,"transporter substrate-binding domain-containing protein","signal transduction mechanisms"
"DDA3937_RS15420",17,"IMP dehydrogenase","nucleotide transport and metabolism"
"DDA3937_RS15485",6,"nucleoside-diphosphate kinase","nucleotide transport and metabolism"
"DDA3937_RS15655",18,"phosphoribosylformylglycinamidine synthase","nucleotide transport and metabolism"
"DDA3937_RS15660",2,"membrane-bound lytic murein transglycosylase MltF","signal transduction mechanisms"
"DDA3937_RS15690",1,"type I secretion system permease/ATPase","defense mechanisms"
"DDA3937_RS15700",1,"sensor domain-containing diguanylate cyclase","signal transduction mechanisms"
"DDA3937_RS15705",13,"cyclic-guanylate-specific phosphodiesterase","signal transduction mechanisms"
"DDA3937_RS15720",1,"pyridoxine 5'-phosphate synthase","coenzyme transport and metabolism"
"DDA3937_RS15765",17,"RNA polymerase sigma factor RpoE","transcription"
"DDA3937_RS15780",4,"ATP-dependent RNA helicase SrmB","replication, recombination, and repair"
"DDA3937_RS16110",11,"23S rRNA pseudouridine(1911/1915/1917) synthase RluD","translation, ribosomal structure, and biogenesis"
"DDA3937_RS16130",5,"bifunctional chorismate mutase/prephenate dehydratase","amino acid transport and metabolism"
"DDA3937_RS16555",7,"esterase FrsA","none"
"DDA3937_RS16560",1,"xanthine phosphoribosyltransferase","nucleotide transport and metabolism"
"DDA3937_RS16755",4,"transcriptional repressor MprA","transcription"
"DDA3937_RS16860",1,"Rcs stress response system protein RcsF","none"
"DDA3937_RS16935",1,"phosphoadenylyl-sulfate reductase","coenzyme transport and metabolism"
"DDA3937_RS17010",1,"nucleoside triphosphate pyrophosphohydrolase","none"
"DDA3937_RS17015",6,"GTP diphosphokinase","transcription"
"DDA3937_RS17025",1,"two-component sensor histidine kinase BarA","signal transduction mechanisms"
"DDA3937_RS17155",16,"translocation/assembly module TamB","intracellular trafficking, secretion, and vesicular transport"
"DDA3937_RS17160",15,"outer membrane protein assembly factor","cell wall/membrane/envelope biogenesis"
"DDA3937_RS17180",4,"3'(2'),5'-bisphosphate nucleotidase CysQ","inorganic ion transport and metabolism"
"DDA3937_RS17265",1,"nitric oxide-sensing transcriptional repressor NsrR","transcription"
"DDA3937_RS17395",1,"FCD domain-containing protein","transcription"
"DDA3937_RS17425",13,"diaminopimelate decarboxylase","amino acid transport and metabolism"
"DDA3937_RS17835",17,"D-threonate 4-phosphate dehydrogenase","coenzyme transport and metabolism"
"DDA3937_RS18115",16,"2-isopropylmalate synthase","amino acid transport and metabolism"
"DDA3937_RS18120",17,"3-isopropylmalate dehydrogenase","energy production and conversions"
"DDA3937_RS18125",18,"3-isopropylmalate dehydratase large subunit","amino acid transport and metabolism"
"DDA3937_RS18130",9,"3-isopropylmalate dehydratase small subunit","amino acid transport and metabolism"
"DDA3937_RS18190",1,"hypothetical protein","none"
"DDA3937_RS18275",15,"bis(5'-nucleosyl)-tetraphosphatase (symmetrical) ApaH","signal transduction mechanisms"
"DDA3937_RS18305",17,"carbamoyl-phosphate synthase large subunit","nucleotide transport and metabolism"
"DDA3937_RS18310",17,"glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit","nucleotide transport and metabolism"
"DDA3937_RS18385",1,"molybdopterin adenylyltransferase","coenzyme transport and metabolism"
"DDA3937_RS18405",14,"threonine synthase","amino acid transport and metabolism"
"DDA3937_RS18410",9,"homoserine kinase","amino acid transport and metabolism"
"DDA3937_RS18415",6,"bifunctional aspartate kinase/homoserine dehydrogenase I","amino acid transport and metabolism"
"DDA3937_RS18425",6,"two-component system response regulator ArcA","transcription"
"DDA3937_RS18480",14,"phosphoglycerate dehydrogenase","general function prediction only"
"DDA3937_RS18550",2,"deoxyribonuclease I","replication, recombination, and repair"
"DDA3937_RS18575",2,"class 1 fructose-bisphosphatase","carbohydrate transport and metabolism"
"DDA3937_RS18610",8,"RNA chaperone Hfq","signal transduction mechanisms"
"DDA3937_RS18615",1,"tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA","translation, ribosomal structure, and biogenesis"
"DDA3937_RS18655",4,"mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase","cell wall/membrane/envelope biogenesis"
"DDA3937_RS18660",2,"phosphomannomutase/phosphoglucomutase","carbohydrate transport and metabolism"
"DDA3937_RS18665",8,"GDP-mannose 4,6-dehydratase","cell wall/membrane/envelope biogenesis"
"DDA3937_RS18675",1,"ABC transporter ATP-binding protein","cell wall/membrane/envelope biogenesis"
"DDA3937_RS18685",6,"WbeA","cell wall/membrane/envelope biogenesis"
"DDA3937_RS18690",6,"glycosyltransferase","cell wall/membrane/envelope biogenesis"
"DDA3937_RS18965",2,"fumarate reductase (quinol) flavoprotein subunit","energy production and conversions"
"DDA3937_RS18970",2,"succinate dehydrogenase/fumarate reductase iron-sulfur subunit","energy production and conversions"
"DDA3937_RS18975",3,"fumarate reductase subunit FrdC","energy production and conversions"
"DDA3937_RS18980",4,"fumarate reductase subunit FrdD","energy production and conversions"
"DDA3937_RS19015",17,"glucose-6-phosphate isomerase","carbohydrate transport and metabolism"
"DDA3937_RS19035",2,"DASS family sodium-coupled anion symporter","carbohydrate transport and metabolism"
"DDA3937_RS19360",13,"FKBP-type peptidyl-prolyl cis-trans isomerase","postranslational modification, protein turnover, chaperones"
"DDA3937_RS19395",5,"peptidylprolyl isomerase","postranslational modification, protein turnover, chaperones"
"DDA3937_RS19440",1,"OsmC family protein","general function prediction only"
"DDA3937_RS19510",3,"peptidylprolyl isomerase A","postranslational modification, protein turnover, chaperones"
"DDA3937_RS19580",9,"peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcA","cell wall/membrane/envelope biogenesis"
"DDA3937_RS19615",14,"two-component system sensor histidine kinase EnvZ","signal transduction mechanisms"
"DDA3937_RS19620",2,"two-component system response regulator OmpR","transcription"
"DDA3937_RS19660",2,"4-alpha-glucanotransferase","carbohydrate transport and metabolism"
"DDA3937_RS19875",1,"magnesium/cobalt transporter CorA","inorganic ion transport and metabolism"
"DDA3937_RS19880",14,"DNA helicase II","replication, recombination, and repair"
"DDA3937_RS20130",5,"ketol-acid reductoisomerase","coenzyme transport and metabolism"
"DDA3937_RS20135",1,"HTH-type transcriptional activator IlvY","transcription"
"DDA3937_RS20150",3,"threonine ammonia-lyase, biosynthetic","amino acid transport and metabolism"
"DDA3937_RS20155",6,"dihydroxy-acid dehydratase","carbohydrate transport and metabolism"
"DDA3937_RS20305",2,"Sec-independent protein translocase subunit TatC","intracellular trafficking, secretion, and vesicular transport"
"DDA3937_RS20455",7,"putative lipopolysaccharide heptosyltransferase III","cell wall/membrane/envelope biogenesis"
"DDA3937_RS20465",1,"O-antigen ligase family protein","none"
"DDA3937_RS20470",5,"glycosyltransferase family 9 protein","cell wall/membrane/envelope biogenesis"
"DDA3937_RS20535",15,"orotate phosphoribosyltransferase","nucleotide transport and metabolism"
"DDA3937_RS20815",2,"two-component system sensor histidine kinase VfmI","none"
"DDA3937_RS20820",2,"two-component system response regulator VfmH","signal transduction mechanisms"
"DDA3937_RS20830",2,"ABC transporter ATP-binding protein","cell wall/membrane/envelope biogenesis"
"DDA3937_RS20835",2,"AraC family transcriptional regulator VfmE","transcription"
"DDA3937_RS20955",1,"formate dehydrogenase accessory sulfurtransferase FdhD","energy production and conversions"
"DDA3937_RS20970",1,"mannitol operon repressor","transcription"
"DDA3937_RS20975",1,"mannitol-1-phosphate 5-dehydrogenase","carbohydrate transport and metabolism"
"DDA3937_RS21230",1,"GntR family transcriptional regulator","transcription"
"DDA3937_RS21375",5,"4-deoxy-4-formamido-L-arabinose- phosphoundecaprenol deformylase","cell wall/membrane/envelope biogenesis"
"DDA3937_RS21605",4,"tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG","translation, ribosomal structure, and biogenesis"
"DDA3937_RS21960",18,"helix-turn-helix transcriptional regulator","none"
"DDA3937_RS22235",4,"immunity 8 family protein","none"
"DDA3937_RS22360",1,"deoxyribonuclease","none"
"DDA3937_RS22485",2,"hypothetical protein","none"
